sample,image,grid,magnification
WM4237_T1_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237/WM4237 #229_T1_Day_14__20220520_083037_cut_level_0_oid_1.tiff,,40
WM4237_T1_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200323_WM4237-T1-Day14-229/img/SC2200323.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200323_WM4237-T1-Day14-229/spaceranger/spatial/,40
WM4237_TE_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237/WM4237 CTRL_#200__20220520_084919_cut_level_0_oid_1.tiff,,40
WM4237_T1_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237/WM4237 #229_T1__20220520_091746_cut_level_0_oid_0.tiff,,40
