sample,image,grid,magnification
TCGA-AA-3519-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3519-01Z-00-DX1.82e03504-31d8-43d5-8d3f-01d9016af0fe.svs-58.tiff,,20
TCGA-AA-3520-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3520-01Z-00-DX1.3e2b41c2-eb21-4f68-8946-92b59cc1f969.tiff,,20
TCGA-AA-3521-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3521-01Z-00-DX1.9d6be975-7be1-4f6c-99db-5101369c6624.svs-59.tiff,,20
TCGA-AA-3522-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3522-01Z-00-DX1.bd54ca55-9036-4167-b8b9-14f4209b7e4d.svs-60.tiff,,20
TCGA-AA-3524-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3524-01Z-00-DX1.b1aae264-87be-4514-8f9d-25660b39caa7.svs-61.tiff,,20
TCGA-AA-3525-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3525-01Z-00-DX1.b6079f23-6ad2-41fb-885f-d7c68450c8d5.svs-62.tiff,,20
TCGA-AA-3526-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3526-01Z-00-DX1.82876320-2866-4ffa-81d7-3278f7150fc3.svs-63.tiff,,20
TCGA-AA-3527-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3527-01Z-00-DX1.20035f6a-71f8-4d1f-a356-64001be9c2dd.svs-64.tiff,,20
TCGA-AA-3529-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3529-01Z-00-DX1.99453fef-afe8-4a43-a64f-df2d48ef9e55.svs-65.tiff,,20
TCGA-AA-3530-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3530-01Z-00-DX1.298325a7-f5f8-4b5e-b3da-dd9dab6e4820.svs-66.tiff,,20
TCGA-AA-3531-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3531-01Z-00-DX1.19cdaa4b-5a53-4198-90da-5800827d90bf.svs-67.tiff,,20
TCGA-AA-3532-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3532-01Z-00-DX1.00c7a378-a7c5-4fb4-9f53-6197be81c2eb.svs-68.tiff,,20
TCGA-AA-3534-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3534-01Z-00-DX1.a49495e0-93b2-41fa-9229-6375533578b5.svs-69.tiff,,20
TCGA-AA-3538-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3538-01Z-00-DX1.60d0b039-25d6-4b71-a36f-5b2764a983ef.svs-41.tiff,,20
TCGA-AA-3542-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3542-01Z-00-DX1.db284d9a-bde5-471c-ac37-5f3216d0f077.svs-70.tiff,,20
TCGA-AA-3543-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3543-01Z-00-DX1.20129c52-157d-4d66-809f-d21694683c8d.svs-71.tiff,,20
TCGA-AA-3544-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3544-01Z-00-DX1.96850cbf-2305-4b65-8f06-db801af51cc3.svs-42.tiff,,20
TCGA-AA-3548-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3548-01Z-00-DX1.41949ab5-79f2-4729-9d54-c0fca1daf124.svs-72.tiff,,20
TCGA-AA-3549-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3549-01Z-00-DX1.2fe99d54-c61b-4867-bafe-efe4f291c429.svs-73.tiff,,20
TCGA-AA-3552-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3552-01Z-00-DX1.84133d42-9a39-44b5-a1ec-a5382650c939.svs-74.tiff,,20
TCGA-AA-3553-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3553-01Z-00-DX1.45a24cd4-6eb2-4f20-9453-05476da34cdd.svs-75.tiff,,20
TCGA-AA-3554-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3554-01Z-00-DX1.53ea377e-6671-47bb-a2b6-b136d9686144.svs-76.tiff,,20
TCGA-AA-3555-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3555-01Z-00-DX1.d471efa5-7638-43e7-a2cd-93c1aed135d0.svs-77.tiff,,20
