sample,image,grid,magnification
TCGA-AA-3556-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3556-01Z-00-DX1.63a74b91-44e8-4ffd-8737-bcf6992183c3.tiff,,20
TCGA-AA-3558-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3558-01Z-00-DX1.c4af1f52-2e81-4d66-9561-ce446dcace03.svs-78.tiff,,20
TCGA-AA-3560-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3560-01Z-00-DX1.7ca786bd-777e-4b33-8778-fc5e2b061ff1.tiff,,20
TCGA-AA-3561-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3561-01Z-00-DX1.1b5a2925-53f9-470f-a62c-cc2e5d5abb58.svs-79.tiff,,20
TCGA-AA-3562-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3562-01Z-00-DX1.e07893e6-646d-41b5-be51-9c19d51f6743.svs-80.tiff,,20
TCGA-AA-3664-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3664-01Z-00-DX1.bd07e7ef-0acb-43d8-a4f6-15b3442d2ed5.svs-49.tiff,,20
TCGA-AA-3666-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3666-01Z-00-DX1.fe976853-fbde-46e8-b915-3c98440c9315.svs-50.tiff,,20
TCGA-AA-3667-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3667-01Z-00-DX1.28dc3612-1c43-4727-a134-698cc4315dc3.svs-84.tiff,,20
TCGA-AA-3672-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3672-01Z-00-DX1.6cc142eb-e77f-4c09-a6ac-e85470221812.svs-85.tiff,,20
TCGA-AA-3673-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3673-01Z-00-DX1.a80676fa-5481-4b63-9639-dbeb31ae82d8.svs-86.tiff,,20
TCGA-AA-3675-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3675-01Z-00-DX1.9afbbb26-2574-46af-8154-5f39bab6f01a.svs-87.tiff,,20
TCGA-AA-3678-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3678-01Z-00-DX1.4bc052e9-e5b0-4328-afe5-8d19fd2c386c.svs-88.tiff,,20
TCGA-AA-3679-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3679-01Z-00-DX1.b3445f8e-b143-4f24-9edd-8abdcb6b139b.tiff,,20
TCGA-AA-3680-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3680-01Z-00-DX1.9eef1b8f-c3c1-486f-83e7-a88182ce892a.svs-89.tiff,,20
TCGA-AA-3681-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3681-01Z-00-DX1.576342cf-0f40-404a-b3c5-b33103f86777.svs-90.tiff,,20
TCGA-AA-3684-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3684-01Z-00-DX1.c6be6ea4-fa92-4499-b458-85c3a8b1e3b6.svs-91.tiff,,20
TCGA-AA-3685-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3685-01Z-00-DX1.57ef312b-70e0-46f5-b847-0e0ac32f1824.svs-92.tiff,,20
TCGA-AA-3688-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3688-01Z-00-DX1.642ce194-6dc0-4a96-aa79-674f48966df3.tiff,,20
TCGA-AA-3692-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3692-01Z-00-DX1.6e8c2370-54a7-4fce-b55c-bdb459828990.svs-93.tiff,,20
TCGA-AA-3693-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3693-01Z-00-DX1.0e18d1db-cdff-433b-a150-6c759c4dc3bb.svs-94.tiff,,20
TCGA-AA-3695-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3695-01Z-00-DX1.be93a101-7b57-4140-bd82-86c65e65ca27.svs-95.tiff,,20
TCGA-AA-3696-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3696-01Z-00-DX1.947f2c09-dfe9-4fdb-bf1a-9bf46d67f617.tiff,,20
TCGA-AA-3710-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3710-01Z-00-DX1.78082263-b7e9-4281-aa55-2da5f80e4499.svs-97.tiff,,20
TCGA-AA-3715-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3715-01Z-00-DX1.24d6e746-ad61-4587-a2b9-8903331b279c.tiff,,20
TCGA-AA-3811-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3811-01Z-00-DX1.369d7946-911e-4e97-8ae7-32ef12b6b106.svs-99.tiff,,20
TCGA-AA-3812-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3812-01Z-00-DX1.c501fc71-8370-4034-b32a-1bb7cd846881.svs-100.tiff,,20
TCGA-AA-3814-01Z-00-DX1,/projects/chuang-lab/USERS/domans/COAD/cut/TCGA-AA-3814-01Z-00-DX1.15a569dc-30d6-4bef-908b-6183df4e9e01.tiff,,20
