sample,image,grid,magnification
TCGA-A6-2671-01Z-00-DX1,/projects/rubinstein-lab/USERS/domans/COAD/cut/TCGA-A6-2671-01Z-00-DX1.13d1a0d9-78cd-4cfc-b670-34a79ebe52ee.svs-7.tiff,,40
TCGA-A6-6648-01Z-00-DX1,/projects/rubinstein-lab/USERS/domans/COAD/cut/TCGA-A6-6648-01Z-00-DX1.88b9a490-0bed-43f3-bd74-1bf2810f6884.svs-24.tiff,,40
TCGA-AA-3519-01Z-00-DX1,/projects/rubinstein-lab/USERS/domans/COAD/cut/TCGA-AA-3519-01Z-00-DX1.82e03504-31d8-43d5-8d3f-01d9016af0fe.svs-58.tiff,,43
TCGA-AA-3666-01Z-00-DX1,/projects/rubinstein-lab/USERS/domans/COAD/cut/TCGA-AA-3666-01Z-00-DX1.fe976853-fbde-46e8-b915-3c98440c9315.svs-50.tiff,,43
