sample,image,grid,roifile,mpp
TCGA-CM-6679-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CM-6679-01Z-00-DX1.b3a899df-256a-4546-9428-a6dd2695b2cf.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CM-6679-01Z-00-DX1.b3a899df-256a-4546-9428-a6dd2695b2cf.oid0.json,0.252
TCGA-CM-6680-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CM-6680-01A-01-BS1.481058f9-945b-4062-8adb-28624d1c0c8b.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CM-6680-01A-01-BS1.481058f9-945b-4062-8adb-28624d1c0c8b.oid0.json,0.252
TCGA-CM-6680-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CM-6680-01A-01-TS1.a197db57-af78-440b-a8c4-55d0249d0c4b.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CM-6680-01A-01-TS1.a197db57-af78-440b-a8c4-55d0249d0c4b.oid0.json,0.252
TCGA-CM-6680-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CM-6680-01Z-00-DX1.68fe763e-d8f4-44ca-8604-4da4e57cee06.svs-254.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CM-6680-01Z-00-DX1.68fe763e-d8f4-44ca-8604-4da4e57cee06.svs-254.oid0.json,0.252
TCGA-D5-5537-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-5537-01Z-00-DX1.14709d4c-eba0-48d0-87b8-5f34f74429d6.svs-255.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-5537-01Z-00-DX1.14709d4c-eba0-48d0-87b8-5f34f74429d6.svs-255.oid0.json,0.252
TCGA-D5-5538-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-5538-01Z-00-DX1.7187bda7-9217-4395-a5e9-647357bc1c3a.svs-256.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-5538-01Z-00-DX1.7187bda7-9217-4395-a5e9-647357bc1c3a.svs-256.oid0.json,0.252
TCGA-D5-5539-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-5539-01Z-00-DX1.9c46fe78-2adb-4f49-9141-cda135c2c90b.svs-149.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-5539-01Z-00-DX1.9c46fe78-2adb-4f49-9141-cda135c2c90b.svs-149.oid0.json,0.252
TCGA-D5-5540-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-5540-01Z-00-DX1.4e4c69ca-f736-4db3-a401-c4f814d975dd.svs-257.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-5540-01Z-00-DX1.4e4c69ca-f736-4db3-a401-c4f814d975dd.svs-257.oid0.json,0.252
TCGA-D5-5541-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-5541-01Z-00-DX1.2cd0a69e-879e-47aa-8035-1f9732ec4760.svs-258.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-5541-01Z-00-DX1.2cd0a69e-879e-47aa-8035-1f9732ec4760.svs-258.oid0.json,0.252
TCGA-D5-6529-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6529-01Z-00-DX1.3b2ef23a-29b5-4a22-893c-6114d8244e68.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6529-01Z-00-DX1.3b2ef23a-29b5-4a22-893c-6114d8244e68.oid0.json,0.252
TCGA-D5-6530-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6530-01Z-00-DX1.5c4bbcd1-51ba-467d-93f9-f2a9e7c5e010.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6530-01Z-00-DX1.5c4bbcd1-51ba-467d-93f9-f2a9e7c5e010.oid0.json,0.252
TCGA-D5-6531-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6531-01Z-00-DX1.32241731-5890-424e-96d5-b897e770f03c.svs-152.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6531-01Z-00-DX1.32241731-5890-424e-96d5-b897e770f03c.svs-152.oid0.json,0.252
TCGA-D5-6532-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6532-01Z-00-DX1.a28f2969-31ae-408f-99f5-5428e183e123.svs-259.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6532-01Z-00-DX1.a28f2969-31ae-408f-99f5-5428e183e123.svs-259.oid0.json,0.252
TCGA-D5-6533-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6533-01Z-00-DX1.a4b5096e-88cc-4797-b8d5-1a9cf1e74a55.svs-260.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6533-01Z-00-DX1.a4b5096e-88cc-4797-b8d5-1a9cf1e74a55.svs-260.oid0.json,0.252
TCGA-D5-6534-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6534-01Z-00-DX1.eb7b12b8-ad31-438f-8e1d-9bb76a560c86.svs-261.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6534-01Z-00-DX1.eb7b12b8-ad31-438f-8e1d-9bb76a560c86.svs-261.oid0.json,0.252
TCGA-D5-6534-01Z-00-DX1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6534-01Z-00-DX1.eb7b12b8-ad31-438f-8e1d-9bb76a560c86.svs-261.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6534-01Z-00-DX1.eb7b12b8-ad31-438f-8e1d-9bb76a560c86.svs-261.oid1.json,0.252
TCGA-D5-6535-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6535-01Z-00-DX1.0d7485ff-cf98-4c86-8a61-c7364f41b8b0.svs-262.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6535-01Z-00-DX1.0d7485ff-cf98-4c86-8a61-c7364f41b8b0.svs-262.oid0.json,0.252
TCGA-D5-6536-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-D5-6536-01Z-00-DX1.a4528e3f-770e-4271-9943-d3a8b8bd3e9d.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-D5-6536-01Z-00-DX1.a4528e3f-770e-4271-9943-d3a8b8bd3e9d.oid0.json,0.252
