sample,image,grid,roifile,mpp
TCGA-AA-3555-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3555-01Z-00-DX1.d471efa5-7638-43e7-a2cd-93c1aed135d0.svs-77.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3555-01Z-00-DX1.d471efa5-7638-43e7-a2cd-93c1aed135d0.svs-77.oid0.json,0.2325
TCGA-AA-3556-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3556-01Z-00-DX1.63a74b91-44e8-4ffd-8737-bcf6992183c3.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3556-01Z-00-DX1.63a74b91-44e8-4ffd-8737-bcf6992183c3.oid0.json,0.2325
TCGA-AA-3558-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3558-01Z-00-DX1.c4af1f52-2e81-4d66-9561-ce446dcace03.svs-78.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3558-01Z-00-DX1.c4af1f52-2e81-4d66-9561-ce446dcace03.svs-78.oid0.json,0.2325
TCGA-AA-3560-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3560-01Z-00-DX1.7ca786bd-777e-4b33-8778-fc5e2b061ff1.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3560-01Z-00-DX1.7ca786bd-777e-4b33-8778-fc5e2b061ff1.oid0.json,0.2325
TCGA-AA-3562-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3562-01Z-00-DX1.e07893e6-646d-41b5-be51-9c19d51f6743.svs-80.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3562-01Z-00-DX1.e07893e6-646d-41b5-be51-9c19d51f6743.svs-80.oid0.json,0.2325
TCGA-AA-3664-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3664-01Z-00-DX1.bd07e7ef-0acb-43d8-a4f6-15b3442d2ed5.svs-49.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3664-01Z-00-DX1.bd07e7ef-0acb-43d8-a4f6-15b3442d2ed5.svs-49.oid0.json,0.2325
TCGA-AA-3666-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3666-01Z-00-DX1.fe976853-fbde-46e8-b915-3c98440c9315.svs-50.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3666-01Z-00-DX1.fe976853-fbde-46e8-b915-3c98440c9315.svs-50.oid0.json,0.2325
TCGA-AA-3667-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3667-01Z-00-DX1.28dc3612-1c43-4727-a134-698cc4315dc3.svs-84.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3667-01Z-00-DX1.28dc3612-1c43-4727-a134-698cc4315dc3.svs-84.oid0.json,0.2325
TCGA-AA-3672-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3672-01Z-00-DX1.6cc142eb-e77f-4c09-a6ac-e85470221812.svs-85.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3672-01Z-00-DX1.6cc142eb-e77f-4c09-a6ac-e85470221812.svs-85.oid0.json,0.2325
TCGA-AA-3673-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3673-01Z-00-DX1.a80676fa-5481-4b63-9639-dbeb31ae82d8.svs-86.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3673-01Z-00-DX1.a80676fa-5481-4b63-9639-dbeb31ae82d8.svs-86.oid0.json,0.2325
