sample,image,grid,magnification
WM4007_T0_S2_AD_a,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_484_T0_8_18_22_a_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T0_S2_AD_b,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_484_T0_8_18_22_b_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T0_S2_AD_c,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_484_T0_8_18_22_c_cut_level_0_oid_0.tiff,,37.91497945
