sample,image,grid,roifile,mpp
TCGA-AZ-6600-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6600-01A-01-TS1.e0060ae0-db72-44b8-b780-b1abce5bfcb5.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6600-01A-01-TS1.e0060ae0-db72-44b8-b780-b1abce5bfcb5.oid0.json,0.252
TCGA-AZ-6600-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6600-01Z-00-DX1.9afe2f8f-bcfe-43df-a83b-6c183f226757-359.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6600-01Z-00-DX1.9afe2f8f-bcfe-43df-a83b-6c183f226757-359.oid0.json,0.252
TCGA-AZ-6601-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6601-01A-01-BS1.07de732f-f172-446d-b87b-249995224c22.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6601-01A-01-BS1.07de732f-f172-446d-b87b-249995224c22.oid0.json,0.252
TCGA-AZ-6601-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6601-01Z-00-DX1.40681471-3104-48be-8b57-55dba1f432f8.svs-211.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6601-01Z-00-DX1.40681471-3104-48be-8b57-55dba1f432f8.svs-211.oid0.json,0.252
TCGA-AZ-6603-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6603-01A-01-BS1.6e9202f9-7986-41c0-8bb0-0d81e97ebd60.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6603-01A-01-BS1.6e9202f9-7986-41c0-8bb0-0d81e97ebd60.oid0.json,0.252
TCGA-AZ-6603-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6603-01A-01-TS1.980f8750-f6ee-4983-84ab-235fd565759b.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6603-01A-01-TS1.980f8750-f6ee-4983-84ab-235fd565759b.oid0.json,0.252
TCGA-AZ-6603-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6603-01Z-00-DX1.e39d6a8c-a738-4d63-b094-11be49fac828-361.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6603-01Z-00-DX1.e39d6a8c-a738-4d63-b094-11be49fac828-361.oid0.json,0.252
TCGA-AZ-6605-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6605-01Z-00-DX1.4d634c3e-a1c0-42e1-a4d6-5980eddfa0ca-362.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6605-01Z-00-DX1.4d634c3e-a1c0-42e1-a4d6-5980eddfa0ca-362.oid0.json,0.252
TCGA-AZ-6606-01A-01-BS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6606-01A-01-BS1.09d0e2e1-7463-4bd3-89bd-bf2e5059be8a.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6606-01A-01-BS1.09d0e2e1-7463-4bd3-89bd-bf2e5059be8a.oid0.json,0.252
TCGA-AZ-6606-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6606-01A-01-TS1.e1abc04e-cdcc-4a43-b7bd-16485f4eefb3.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6606-01A-01-TS1.e1abc04e-cdcc-4a43-b7bd-16485f4eefb3.oid0.json,0.252
TCGA-AZ-6606-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6606-01Z-00-DX1.aa79b3d8-8ff1-4171-96dc-94bc7d073d93.svs-212.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6606-01Z-00-DX1.aa79b3d8-8ff1-4171-96dc-94bc7d073d93.svs-212.oid0.json,0.252
TCGA-AZ-6607-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6607-01Z-00-DX1.b0a25161-7e13-42d6-9271-ecc5ecce2232.svs-213.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6607-01Z-00-DX1.b0a25161-7e13-42d6-9271-ecc5ecce2232.svs-213.oid0.json,0.252
TCGA-AZ-6608-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-6608-01Z-00-DX1.40d9f93f-f7d8-4138-9af1-bb579c53194b.svs-118.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-6608-01Z-00-DX1.40d9f93f-f7d8-4138-9af1-bb579c53194b.svs-118.oid0.json,0.252
TCGA-CA-5254-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CA-5254-01Z-00-DX1.cd986205-1db0-457b-9a28-75bed56376cb.svs-215.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CA-5254-01Z-00-DX1.cd986205-1db0-457b-9a28-75bed56376cb.svs-215.oid0.json,0.252
TCGA-CA-5255-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-CA-5255-01Z-00-DX1.77310ae2-9c5f-48c4-9754-c5b30d287089.svs-120.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-CA-5255-01Z-00-DX1.77310ae2-9c5f-48c4-9754-c5b30d287089.svs-120.oid0.json,0.252
