sample,image,grid,magnification
WM4007_T0_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#484_T0_6_28_22__20221214_123115_cut_level_0_oid_0.tiff,,40
WM4007_T0_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#484_T0_8_18_22__20221214_122521_cut_level_0_oid_0.tiff,,40
WM4007_T1_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#426_T1_6_28_22__20221214_123154_cut_level_0_oid_0.tiff,,40
WM4007_T1_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#426_T1_8_18_22__20221214_122630_cut_level_0_oid_0.tiff,,40
WM4007_T2_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#437_T2_6_28_22__20221214_123428_cut_level_0_oid_0.tiff,,40
WM4007_T2_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#437_T2_8_18_22__20221214_122824_cut_level_0_oid_0.tiff,,40
WM4007_T3_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#17_T3_6_28_22__20221214_123549_cut_level_0_oid_0.tiff,,40
WM4007_T3_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#17_T3_8_18_22__20221214_122920_cut_level_0_oid_0.tiff,,40
WM4007_T4_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#006_T4_6_28_22__20221214_123639_cut_level_0_oid_0.tiff,,40
WM4007_T4_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#6_T4_8_18_22__20221214_123030_cut_level_0_oid_0.tiff,,40
WM4007_TC_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#439_CTRL_6_28_22__20221214_123302_cut_level_0_oid_0.tiff,,40
WM4007_TC_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_2/WM4007_#439_CTRL_8_18_22__20221214_122424_cut_level_0_oid_0.tiff,,40
